"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,250000,250000,1.16,0.9,0.999999999999999,70000,58983,-4.07272963366714e-14,20152.598609499,14.7142542814033,0.344017094017094,14.3702371873862
25,245000,245000,1.16,0.9,1,70000,58983,-4.09077532077853e-14,20122.9217939729,14.7133146929125,0.344017094017094,14.3692975988954
25,240000,240000,1.16,0.9,1,70000,58983,-4.1093278094684e-14,20092.5929472039,14.7123550014889,0.344017094017094,14.3683379074718
25,235000,235000,1.16,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-4.12840577492693e-14,20061.5948812927,14.7113752207026,0.344017094017094,14.3673581266855
25,230000,230000,1.16,0.9,1,70000,58983,-4.14802834514834e-14,20029.9105560715,14.7103751958076,0.344017094017094,14.3663581017905
25,225000,225000,1.16,0.9,0.999999999999999,70000,58983,-4.16821547987441e-14,19997.5225127886,14.7093548187579,0.344017094017094,14.3653377247408
25,220000,220000,1.16,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-4.18898789802791e-14,19964.4130495016,14.7083137883794,0.344017094017094,14.3642966943623
25,215000,215000,1.16,0.9,1,70000,58983,-4.21036709653968e-14,19930.5642489236,14.7072519553184,0.344017094017094,14.3632348613013
25,210000,210000,1.16,0.9,1,70000,58983,-4.23237531337485e-14,19895.9580960185,14.7061696408588,0.344017094017094,14.3621525468418
25,205000,205000,1.16,0.9,0.999999999999999,70000,58983,-4.25503524905739e-14,19860.5769699145,14.7050676298737,0.344017094017094,14.3610505358566
25,2e+05,2e+05,1.16,0.9,0.999999999999999,70000,58983,-4.27836989386039e-14,19824.4039545678,14.703946450467,0.344017094017094,14.3599293564499
25,195000,195000,1.16,0.9,1,70000,58983,-4.30240279715682e-14,19787.4224595996,14.7028064225417,0.344017094017094,14.3587893285246
25,190000,190000,1.16,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-4.3271582469933e-14,19749.6159959145,14.701647899393,0.344017094017094,14.3576308053759
25,185000,185000,1.16,0.9,0.999999999999999,70000,58983,-4.35266090043224e-14,19710.9687931182,14.7004719861626,0.344017094017094,14.3564548921455
25,180000,180000,1.16,0.9,1,70000,58983,-4.37893542329403e-14,19671.4663764147,14.6992796293002,0.344017094017094,14.3552625352831
25,175000,175000,1.16,0.9,0.999999999999997,69999.9999999998,58982.9999999998,-4.40600698573077e-14,19631.0948450597,14.6980714935888,0.344017094017094,14.3540543995717
25,170000,170000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-4.43390107466282e-14,19589.8411918167,14.6968486271453,0.344017094017094,14.3528315331282
25,165000,165000,1.16,0.9,0.999999999999999,70000,58983,-4.46264310564087e-14,19547.6939002377,14.6956136208612,0.344017094017094,14.3515965268441
25,160000,160000,1.16,0.9,0.999999999999999,70000,58983,-4.49225674037247e-14,19504.6453838479,14.6943706704872,0.344017094017094,14.3503535764701
25,155000,155000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-4.5227632213288e-14,19460.6928325682,14.6931243885372,0.344017094017094,14.3491072945201
25,150000,150000,1.16,0.9,0.999999999999999,70000,58983,-4.55418099752638e-14,19415.8385853781,14.6918787753237,0.344017094017094,14.3478616813066
25,145000,145309.266640373,1.16,0.9,0.995581905137527,69690.7333596269,58741.772020509,-4.58650765486241e-14,19370.1153750404,14.6907146850561,0.344017094017094,14.346697591039
25,140000,140791.239181639,1.16,0.9,0.988696583119442,69208.7608183609,58365.8334383215,-4.61968792946024e-14,19323.6295054616,14.689601513211,0.344017094017094,14.3455844191939
